signal_1,signal_2,signal_3
-0.41808538358809455+0.2742314892015565i,-0.021069349415736786+0.0176767821025839i,-0.0005759254367977668+0.0004726357459870757i
0.07212080306941734-0.49477100142077945i,0.0005999538537067294-0.02677168487387845i,0.000012587566194134158-0.0007363974380337492i
0.3224025707509658+0.38216984355682937i,0.019256674388063028+0.017630739055509548i,0.0005207655074738949+0.0004710237182811173i
-0.4998489929355219-0.012253017176005937i,-0.025195491155786214+0.002840416170785639i,-0.0006880359455749811+0.00006986174032956003i
0.34073907383421076-0.36591848051447196i,0.014038465924470077-0.020208190072318055i,0.0003780851411384696-0.0005571595735448784i
0.047794016759453495+0.4977074836012946i,0.005843701485994008+0.02315258234053493i,0.00015624040609861706+0.0006218977712318075i
-0.40414787403741453-0.2943877352035018i,-0.020578454075461893-0.010424940560841922i,-0.0005624504778442785-0.0002899745110859661i
0.48838227033692205-0.1071518726378444i,0.020665457061708813-0.008366197895721433i,0.0005583399684869565-0.0002344892841649607i
-0.24378329920500594+0.43654010387379527i,-0.006943767140529396+0.02035173346066685i,-0.0001911459545172285+0.0005465901387166289i
-0.1649594578766623-0.4720044221265009i,-0.010397741098062942-0.01784616401567924i,-0.00028573338291682285-0.000490819880671234i
0.4626316060782508+0.18965712142819996i,0.01950808175295699+0.0036710580728440937i,0.0005270708480426807+0.0000934091775975319i
-0.44880866345141973+0.22038438278963893i,-0.014834575187318975+0.011870787088440778i,-0.0004054060605648357+0.0003170604629027567i
0.13279553575179273-0.4820425955721577i,0.0006583227573139127-0.018114141955703954i,0.000014690266076894018-0.0004972497930383105i
0.27262951771606003+0.4191303490863324i,0.012714987177891419+0.011711060780100641i,0.0003427670140733539+0.0003126853066830017i
-0.4944905010887862-0.07401641709315564i,-0.016268797293517906+0.0019870955680980178i,-0.00044427820274012383+0.00004955855501929849i
0.38340308947483087-0.3209383333066348i,0.008542241819140279-0.012938190745664126i,0.00022892863646030244-0.0003558108741638409i
-0.014166237533617454+0.4997963411944162i,0.004152024519016232+0.014028039048899857i,0.0001104564818055293+0.0003765656363633209i
-0.3646100729490942-0.342139141035141i,-0.012580797029281537-0.0054509811783719185i,-0.00034408046371261456-0.0001514358916581803i
0.49788826801002145-0.04588959722632569i,0.011444380230241039-0.005787469651557496i,0.00030791648823961663-0.00016075236975786897i
-0.2959325765931781+0.40301569195368714i,-0.0025721158091743467+0.011653255883462407i,-0.00007190925761576999+0.00031312741294951704i
-0.10527972687064921-0.4887903215766247i,-0.0068723880791305885-0.00862621014342547i,-0.00018904336059381784-0.00023664943819564602i
0.4356046055998971+0.24545115515623256i,0.010169841811151525-0.0000053370953252903595i,0.0002735544338126345-0.000002822001021639542i
-0.4726320448442414+0.16314910548043873i,-0.005700891063422314+0.007363947051745074i,-0.00015669301798471315+0.00019778131681251303i
0.19142868848790695-0.461903374514838i,-0.002211358580905272-0.008196872053991791i,-0.000062410583705496-0.00022399305500599633i
0.21866510223095548+0.4496471989567581i,0.007225878179195215+0.0027702293285464924i,0.00019388681983718216+0.0000735553922667719i
-0.4815298064108968-0.13464192292793906i,-0.0058248802580644745+0.00395790718503668i,-0.00015993348269357967+0.00010643990889770085i
0.42017272968428326-0.2710241588601139i,-0.00007145684302886171-0.00646477457009587i,-0.000004156169977395284-0.00017593342150176199i
-0.07590870788644136+0.49420139866528556i,0.005161354326809648+0.0031381156630759513i,0.00013805113005490053+0.00008463510431938923i
-0.3194668273861835-0.38463058222086594i,-0.005112709012408223+0.002713008427877978i,-0.00014044408979343884+0.00007376379196856535i
0.499739815695555+0.016078155594646187i,0.00022482221446651042-0.005765900017831845i,0.000004078725825670084-0.0001558346576542027i
-0.3435322449911408+0.3632953682166933i,0.0050417178650504+0.003211204097091723i,0.0001349532592386598+0.00008771097492458832i
-0.04398144951672589-0.49806166749134384i,-0.005737317158866679+0.0028112372393286475i,-0.00015714251438954212+0.0000775857984380576i
0.40188069296455137+0.2974716459343029i,0.0008145622157311498-0.0069528731530415985i,0.000020209382183912795-0.00018683755627781916i
-0.4891892713832145+0.10340558213942118i,0.00585722303248006+0.005061566024613082i,0.00015725835209527705+0.00013896237348631193i
0.2471188457267459-0.4346629550133856i,-0.008354493068920412+0.002011734419286134i,-0.00022783575636315656+0.000057177377945556584i
0.16133896351936255+0.47325123260352076i,0.003741475454962521-0.008786007145484121i,0.00009962611714377217-0.00023538209051192311i
-0.4611661642921823-0.19319748905092354i,0.005186848150998267+0.009180591163406313i,0.00013939293345947677+0.00025174105562978495i
0.4504827046232317-0.21694332872091202i,-0.011471081099710172-0.0017814995455934064i,-0.0003121211845702749-0.00004427351394667089i
-0.1364841766578566+0.4810086716546702i,0.009380723569682925-0.0085939325501118i,0.00025253783380122533-0.00022911612255573408i
-0.2694121614915904-0.4212088029816097i,0.000796128239678855+0.013814417609907075i,0.000020817810814038886+0.0003785815231465264i
0.49390844803221673+0.0777987047317378i,-0.012104075893842908-0.008890442024168319i,-0.00032923794199190567-0.0002355440490941513i
-0.3858505156528561+0.3179897857803257i,0.015727630121851837-0.003914848309719553i,0.000424716529882031-0.00010134142191525053i
0.017992985487267937-0.49967592386506515i,-0.007660025353266418+0.015618742018083335i,-0.00020787346446229704+0.0004289330301279675i
0.3619783335432867+0.34491884008773216i,-0.007475777713814518-0.01708740170525271i,-0.00020395224655705288-0.0004563757611243803i
-0.49822579524364613+0.04207229895569389i,0.019040797652400847+0.005707145624662167i,0.0005148988461640019+0.00016035501592243247i
0.2990098370010751-0.4007401263808237i,-0.01777651293958606+0.011414801739326155i,-0.0004816487199911056+0.0003166904263210067i
0.10153242333361395+0.48957956585609597i,0.003077185845416483-0.022214216055827206i,0.0000817753340349268-0.0005942250535795084i
-0.4337126417062657-0.24878289271373916i,0.015661698953845504+0.0177526628965603i,0.00042401843015831247+0.0004878520032287015i
0.47386703418510107-0.15952727185070592i,-0.024976407805528563+0.00022869036176344755i,-0.0006766686964690577+0.000015390195270496153i
-0.19496136747924855+0.46042098277627375i,0.017000648825248814-0.020063504505534756i,0.0004589206805351666-0.0005351629348717534i
-0.215215606701587-0.4513114563262326i,0.004199458799808305+0.02724308698489601i,0.00011432231525596891+0.000746435264101669i
0.48048381541828966+0.13832316955661794i,-0.024446842054260613-0.015445285877448324i,-0.0006626443748566059-0.00040758179385835423i
-0.4222367950917655+0.26779546452540454i,0.02895105720897199-0.008720783873330726i,0.0007829461012753339-0.00022725162354844135i
0.07969079431731874-0.4936082734104566i,-0.013019169823801571+0.028718631199301355i,-0.00035137522880240304+0.0007882948592447895i
0.316510979037504+0.38706329298211006i,-0.013646251690509379-0.02995555334504298i,-0.00037066399691268866-0.0007993637695126821i
