signal_1,signal_2
-0.18076796567363357+0.4661785881962676i,-0.17102164270304304+0.4407052694596669i
-0.30541761343457463-0.3958786337492705i,-0.2885318220208656-0.3741921551295457i
0.4967913768494747-0.05655324829843818i,0.4692859727595813-0.05329846803994759i
-0.20862551170825955+0.45439515936363034i,-0.19709274210706854+0.4289796916062974i
-0.2809212743451291-0.4136218514894816i,-0.26501829583272274-0.39042716337297423i
0.4993019228046526-0.026410449935985306i,0.47101098765502936-0.024789675808942445i
-0.23571957808638236+0.4409488385487896i,-0.22236949052601185+0.41571024821525054i
-0.2553968841357127-0.42985139148636503i,-0.24059521778970192-0.40518415642504313i
0.49998523783321175+0.0038289986228967564i,0.47100137460143265+0.0037324972004960967i
-0.26195101215324773+0.4258888335150568i,-0.2467603924363705+0.4009502767389718i
-0.22893785111997375-0.444507860588901i,-0.21535554051275776-0.41841247752203453i
0.49883882129541196+0.03405443397460203i,0.46926189923409867+0.03216234618959879i
-0.2872238181181368+0.4092702574174255i,-0.27017750989268935+0.3847585397922639i
-0.20164100400310336-0.45753762241041485i,-0.18939501544390916-0.4300673194888916i
0.49586686858376444+0.06415524399784858i,0.46580377796516415+0.06039479954812927i
-0.31144550835776175+0.39115392711207897i,-0.2925367842715889+0.3671989890633848i
-0.1736062375303307-0.46889299361473286i,-0.1628118244487555-0.44010987770546817i
0.4910802557696957+0.0940212726465702i,0.4606446181477798+0.08832581305276901i
-0.3345274418812729+0.37160614059279584i,-0.31375834240868705+0.3483405101474797i
-0.14493614691502876-0.47853241841672767i,-0.13570620318296936-0.44850747985272843i
0.4844964998017944+0.1235432230737683i,0.45380833412156196+0.11585275909013328i
-0.3563851487182426+0.3506984343687485i,-0.333766785997844+0.32825664933074017i
-0.11573565238426464-0.48642062065865743i,-0.10818005768773437-0.45523369200458746i
0.47613969440129666+0.1526130576110642i,0.4453250395265078+0.14287480942711184i
-0.37693863904250413+0.32850732167157976i,-0.35249146318988744+0.3070253234212634i
-0.08611161521579816-0.49252873290576316i,-0.08033657570105567-0.46026840072387476i
0.4660404218894077+0.18112439314019768i,0.4352309163628243+0.16929331008020637i
-0.39611269590058573+0.30511401244981406i,-0.3698667213995795+0.2847285137844078i
-0.05617244667166746-0.49683440208869034i,-0.05227983418836449-0.4635978709142688i
0.45423564126913074+0.2089728904095828i,0.4235680613628463+0.1950121468699118i
-0.4138371504734787+0.28060411617529896i,-0.3858321404049209+0.2614519457987992i
-0.026027711259498265-0.4993218713061298i,-0.024114404606150247-0.46521477927430943i
0.44076855297117884+0.23605663587118855i,0.4103843103270081+0.21993810028616737i
-0.4300471388644004+0.25506732854928016i,-0.4003327449013322+0.23728475500162022i
0.004212274226571611-0.4999820374883143i,0.004055042582941809-0.4651182232944201i
0.42568844075893825+0.26227651464038515i,0.39573304115936503+0.24398118833599097i
-0.4446833394728172+0.22859710325462976i,-0.41331919575525605+0.21231914123994008i
0.03443684441801284-0.49881248471034567i,0.03212413262670568-0.46331370583234655i
0.4090504913710469+0.28753657321388404i,0.37967295641786375+0.26705499609445804i
-0.45769219008604434+0.20129030995547637i,-0.42474795928561765+0.18665001218710753i
0.06453539035965894-0.4958174930334449i,0.05998917892189285-0.45981309539633725i
0.3909155925616151+0.31174437061837895i,0.36226784627193903+0.289076990735358i
-0.46902608389395595+0.17324687979580772i,-0.43458145398885784+0.16037461762076483i
0.0943977642910108-0.49100802284176326i,0.0875475716782613-0.45463456235941296i
0.37135011027717774+0.33481131670483444i,0.34358633283243123+0.309968820877312i
-0.47864354370947765+0.14456943969437214i,-0.44278817421169975+0.13359217589028483i
0.12391468273976677-0.4844016747320813i,0.11469816133051997-0.4478024914196635i
0.35042564578581237+0.35665299635040987i,0.32370159688835337+0.3296565991451763i
-0.4865093737572911+0.11536293677420209i,-0.44934279036624714+0.10640349402757257i
0.15297812645242967-0.4760226251031785i,0.1413416352451404-0.43934737071274177i
0.3282187736472284+0.37718947838158057i,0.3026910881497342+0.34807116691448575i
-0.4925947884752662+0.0857342543011837i,-0.45422622537397445+0.07891058297556688i
0.1814817356984145-0.46590153768058895i,0.16738088629937603-0.4293056580715677i
0.3048107614827422+0.3963456080879282i,0.2806362201562229+0.3651483402786806i
-0.4968775178572638+0.05579182053717634i,-0.4574257071178048+0.051216269422840945i
0.2093211995010159-0.4540754513005268i,0.19272137194523872-0.4177196250148011i
0.2802872725706617+0.41405128225612525i,0.25762205106678027+0.3808291363542459i
-0.49934188895180137+0.02564521193910918i,-0.4589347967745298+0.023423805741677038i
0.2363946373708141-0.4405876443636419i,0.21727146241240625-0.40463717913013375i
0.2547380523554521+0.43024170571761i,0.23373695159670313+0.3950599791172631i
-0.4999788832183273-0.004595247843823664i,-0.4587533929938449-0.00436352047043382i
0.2626029721445416-0.4254874764546469i,0.2409427767497523-0.3901116655996853i
0.22825660001792628+0.444857628471094i,0.2090722614138265+0.4077928840467116i
-0.4987861695312106-0.03481889170736996i,-0.45688771198293876-0.03204277574903625i
0.28785029256497896-0.4088302077074225i,0.26365050545643853-0.37420164869289796i
0.20093982630837112+0.45784556251213865i,0.1837219353463823+0.4189856209336392i
-0.495768112710659-0.06491511408632576i,-0.45335024364915477-0.05951176753256123i
0.312044204274993-0.3906767965766426i,0.28531371850904663-0.35697067412748484i
0.1728876988947933+0.4691579775762952i,0.15778218079002718+0.42860185430180153i
-0.49093575754935104-0.09477377572343401i,-0.4481596840445841-0.08666942687060851i
0.3350961679412307-0.37109367675599314i,0.30585565765132167-0.33848701326943315i
0.1442028765241578+0.4787534750794731i,0.1313510877311832+0.4366112609735043i
-0.48430678839323416-0.12428560673179692i,-0.4413408444475731-0.11341618561753292i
0.3569218232700796-0.3501525140593647i,0.32520401187760395-0.31882339021064254i
0.1149903333354339+0.486596939618992i,0.10452825282768458+0.44298962440393397i
-0.4759054644244092-0.15334260647576553i,-0.4329245375049655-0.13965434668437535i
0.3774412977301367-0.3279299441547315i,0.3432911751092671-0.2980566928252728i
0.08535697469929845+0.49265966748088275i,0.07741439900633244+0.44771890549865223i
-0.4657625308829348-0.181838438806915i,-0.4229474409464475-0.16528844595341394i
0.39657949885139454-0.3045072921104963i,0.36005448513530375-0.2762676689641683i
0.055411245990360763+0.4969194716831632i,0.05011099204922062+0.4507872897199671i
-0.4539151065524444-0.20966882120871025i,-0.4114519394668641-0.19022560449649234i
0.4142663890314524-0.2799702747806436i,0.3754364429640008-0.2535406090004567i
0.025262735723634328+0.49936076317066885i,0.022719855647638586+0.4521892103807264i
-0.4404065479213282-0.236731906425761i,-0.398485945455119-0.21437586978004058i
0.4304372418430837-0.2544086871178417i,0.3893849118105219-0.2299630159879709i
-0.004978225492395488+0.49997460786430536i,-0.004657213596543747+0.4519253481158658i
-0.42528629051659433-0.2629286551810657i,-0.38410269932738156-0.23765254458673218i
0.4450328789051791-0.22791607356245425i,0.4018532950269961-0.20562526473788448i
-0.035200968718446496+0.4987587593559429i,-0.031918829747008826+0.450002606614455i
-0.40860966799105525-0.2881631986172597i,-0.36836055029879544-0.2599725024352539i
0.45799988645022405-0.20058938571003504i,0.4128006923648515-0.18062025115739022i
-0.06529489168526151+0.495717667129306i,-0.05896439822189423+0.4464340647860402i
-0.39043770962590757-0.312343189135489i,-0.35132271850033175-0.28125648833603717i
