radius,counts_1_clusters,counts_2_clusters,counts_3_clusters,counts_4_clusters
8.6946449036174e-10,1,11,99,933
1.07832439460489e-09,1,5,36,362
1.10454130751186e-09,1,5,48,493
1.02443911483309e-09,1,10,103,1103
1.11346598511135e-09,1,3,18,143
9.24625599905172e-10,1,9,81,860
7.32923938754902e-10,1,15,205,2608
5.85159379998304e-10,1,10,122,1476
8.37756229460575e-10,1,13,155,1807
9.7300642341148e-10,1,10,106,1180
7.05430010702692e-10,1,11,122,1417
1.15899503881596e-09,1,7,57,553
1.19924080150735e-09,1,3,23,212
7.4250690232482e-10,1,11,149,1924
6.16154607221272e-10,1,15,190,2302
6.77712697239767e-10,1,16,212,2701
8.11848815974994e-10,1,11,122,1371
7.71805351108684e-10,1,11,139,1740
5.73436570162734e-10,1,12,171,2339
1.05027734432387e-09,1,8,85,927
9.83942833705292e-10,1,8,90,1014
9.03109904718136e-10,1,15,163,1738
9.64461766997531e-10,1,11,108,1102
6.29188763408884e-10,1,13,163,1902
4.30009883607342e-10,1,10,118,1444
1.0802668651773e-09,1,4,28,246
1.04466860774123e-09,1,7,71,729
1.02534262566227e-09,1,3,26,270
1.13378635553617e-09,1,4,26,234
1.17396827044005e-09,1,5,48,509
1.05627434883178e-09,1,9,95,1063
7.37536778743949e-10,1,13,170,2215
9.76810882412763e-10,1,5,37,352
1.0955462108008e-09,1,6,50,519
1.15785210627264e-09,1,1,10,85
1.10734208806493e-09,1,4,37,386
5.72685341177858e-10,1,10,137,1823
