signal_0,signal_1
-0.888665122523445+0.4585567573730464i,-0.846116735538884+0.4363428309426499i
0.0673456694489521-0.9977285151709385i,0.06431768178331876-0.9494271271983747i
0.8189811007848719+0.5738201105181078i,0.7788859422046039+0.5460107638368382i
-0.9147664488402715+0.40398308802251426i,-0.8698572577112014+0.3838958849372595i
0.1275518660399439-0.9918307469710586i,0.12145795628590095-0.9426071281276218i
0.7827855073781855+0.6222912055008913i,0.743498164256174+0.5913587830704964i
-0.9375201221948323+0.34793101538173477i,-0.8903427837500656+0.3301717677199019i
0.18729127790129357-0.9823033024785609i,0.17800681473329857-0.9323424051899591i
0.7437252553267153+0.6684849831765949i,0.7054699997691496+0.6344190159419075i
-0.9568428739080356+0.29060566598023174i,-0.9075056742890112+0.27537275510794207i
0.24634528442445724-0.969181048051315i,0.23375626163907243-0.9186797599149242i
0.7019432883891512+0.7122323941442994i,0.6649490874523263+0.6750377840380873i
-0.9726639910015195+0.23221682599401078i,-0.9212908767703857+0.21970462605072508i
0.30449777329026617-0.9525120055087357i,0.28850181851624407-0.9016785710772272i
0.6575925106325655+0.7533733416553089i,0.6220920025578965+0.7130709247718497i
-0.984925574976805+0.1729781735181893i,-0.931656100958209+0.16337587835693826i
0.36153593134726714-0.9323571763925352i,0.3420432854060861-0.8814105389193339i
0.6108352268691493+0.791757267498541i,0.5770636440417312+0.7483843102590914i
-0.9935827536989494+0.11310649659687635i,-0.9385719455191626+0.10659693607989518i
0.4172510234165191-0.9087903187272607i,0.39418548421413707-0.8579593832125948i
0.5618425486902582+0.8272437029789632i,0.5300365916654455+0.7808543267459485i
-0.9986038456093052+0.05282089987197061i,-0.9420219753100587+0.04957935161788489i
0.4714391561727647-0.8818976770975792i,0.4447389810520237-0.8314204964305011i
0.5107937682714254+0.8597027829727301i,0.48119043557940383+0.8103683128500863i
-0.9999704756664235-0.007657997245793513i,-0.9420027492028653-0.007464994400992193i
0.5239020243064955-0.8517776670301136i,0.493520784872741-0.8019005534779436i
0.4578757022399475+0.889015721177802i,0.43071108102551553+0.8368249550440691i
-0.9976776425908239-0.06810886794920407i,-0.9385237984681973-0.06432469237919758i
0.5744476362362736-0.818540514834851i,0.5403550197853787-0.7695170795845278i
0.4032820080062067+0.9150752448208297i,0.3787900308878183+0.8601346389777832i
-0.9917337371675289-0.12831048799569716i,-0.9316075559303283-0.12078959909625854i
0.6228910167155235-0.7823078542241579i,0.5850735685431778-0.7343979781267695i
0.3472124750606614+0.9377859872294657i,0.325623648897511+0.8802197554109363i
-0.9821605115393914-0.1880425452931404i,-0.9212892362955596-0.17665162610553803i
0.6690548837625458-0.7432122811855917i,0.6275166848173741-0.6966810202949594i
0.2898722938300575+0.9570648368334553i,0.2714124063659387+0.8970149597054569i
-0.9689929996035888-0.2470864461475366i,-0.9076166682431239-0.23170551818026655i
0.7127702974364852-0.701396868737497i,0.667533571995688-0.6565132986614803i
0.23147130476852928+0.9728412413173149i,0.21636011537546873+0.9104673840091749i
-0.9522793888025933-0.3052261152221284i,-0.8906500790530156-0.2857496188542237i
0.7538772780850083-0.6570146433431595i,0.7049829263797749-0.6140506468425267i
0.17222323043159632+0.9850574658115263i,0.16067315140211133+0.9205368014477495i
-0.9320808437788154-0.36224878628039536i,-0.8704618327256486-0.33858662016041274i
0.7922253918011715-0.6102280248996281i,0.739733442799159-0.5694570275688156i
0.11234489334333492+0.9936688041773807i,0.10455966837672898+0.9271957418285376i
-0.9084712825382615-0.4179457808191656i,-0.8471361227256926-0.3900242937398236i
0.8276743009469574-0.5612082323505979i,0.7716642808098418-0.5229038915975984i
0.05205542251899653+0.9986437426122596i,0.048228809212300494+0.9304295585486189i
-0.8815371059423577-0.4721132717423771i,-0.8207686206540162-0.43987620057233473i
0.8600942777288008-0.5101346570985603i,0.8006654898026644-0.47456951000324044i
-0.008424548453143221+0.9999640749766286i,-0.008110085165883619+0.9302364465888402i
-0.8513768815178765-0.5245530292807703i,-0.7914660823187301-0.48796237667198195i
0.8893666789456344-0.4571942065092595i,0.8266383915105121-0.42463828247988017i
-0.06887368883602568+0.9976249694206913i,-0.06424826525341136+0.9266274116646931i
-0.8181009827420938-0.5750731464277681i,-0.7593459128357275-0.5341099921889161i
0.9153843801720887-0.40258061991095273i,0.8494959185712353-0.37330002437421506i
-0.12907078071931788+0.9916349860668898i,-0.1199783578437857+0.9196261907926745i
-0.7818311851232302-0.6234887412367579i,-0.7245356925438781-0.578153981470716i
0.9380521677879119-0.34649375959161544i,0.8691629079777157-0.32074923524152965i
-0.1887955285820216+0.9820160456835265i,-0.1750951433565226+0.9092691247188259i
-0.7427002205543555-0.6696226334096689i,-0.6871726656648625-0.619937641754624i
0.9572870874189553-0.2891388793887443i,0.8855763484233995-0.26718435178056965i
-0.24782936547953355+0.9688033494641626i,-0.22939632266103993+0.895604982839327i
-0.7008512915716247-0.7133059927008197i,-0.6474031937767067-0.6593131982903526i
0.9730187475145822-0.23072587354840418i,0.8986855807324943-0.21280698805514514i
-0.30595625290485934+0.952045250206357i,-0.2826832704902808+0.8786947414254835i
-0.6564375472944568-0.7543789567631611i,-0.6053821762994684-0.6961423338289715i
0.9851895769505324-0.1714685086023674i,0.9084524507479489-0.15782116595113377i
-0.362963471396829+0.9318030753611779i,-0.33476177259875206+0.8586113161431354i
-0.6096215229654844-0.7926912161758564i,-0.5612724403124458-0.7302966805573612i
0.9937550357145276-0.11158364107435267i,0.9148514142356096-0.10243253884568189i
-0.4186423990020318+0.9081509026010536i,-0.38544274389047745+0.8354392500296022i
-0.5605745451413234-0.8281025645122505i,-0.5152441021335605-0.7616582727084918i
0.9986837779036027-0.05129042387821836i,0.9178695935490596-0.046847611483354076i
-0.4727892747416282+0.8811752887272838i,-0.4345429248248125+0.8092743582602675i
-0.5094761047109042-0.86048341143522i,-0.46747390319340626-0.7901199582345262i
0.9999577664366546+0.009190495687647328i,0.9175067859876898+0.00872704094086764i
-0.5252059442890832+0.8509749529092938i,-0.4818855534995046+0.7802233311993706i
-0.45651320003585255-0.889715256942188i,-0.418144522827653-0.8155857680934232i
0.9975723390624212+0.06963778341473992i,0.9137754239658775+0.0640855514980725i
-0.5757005851299579+0.817660415414845i,-0.5273010109128771+0.7484032973857959i
-0.40187965261674224-0.9156911250242773i,-0.3674438706927646-0.8379712418672784i
0.991536225421318+0.12983022817265152i,0.9067004872983095+0.11902353506512246i
-0.624088408549986+0.7813535931532852i,-0.5706274370180933+0.7139413482549697i
-0.3457753977895866-0.9383159551525904i,-0.31556436158005435-0.8572037086036031i
0.9818715150987021+0.18954755144686802i,0.8963193680891682+0.17333885374121702i
-0.6701923358824614+0.7421873535119863i,-0.6117113153026433+0.6769740265388663i
-0.2884057530483156-0.9575069501589462i,-0.2627021754623664-0.8732225219470086i
0.9686135767864683+0.24857121346359384i,0.8826816888951462+0.22683237123506583i
-0.7138436465401592+0.7003050281187294i,-0.6504080237552079+0.6376467804212851i
-0.2299806666708678-0.973193879237984i,-0.20905650565536915-0.8859792488078679i
0.9518109288488183+0.30668521295153106i,0.865849075009931+0.2793086933687507i
-0.7548825954602734+0.655859888309463i,-0.6865823502185342+0.5961133856505456i
-0.1707139493985969-0.9853193349617655i,-0.1548287980126649-0.8954378109973045i
0.9315250617658696+0.36367687761383i,0.845894881892895+0.3305768919068279i
-0.7931589977027891+0.6090145842209926i,-0.7201089702706075+0.5525353379283366i
-0.11082249198072153-0.9938389433663264i,-0.10022198409844124-0.9015745794399342i
0.9078302131048888+0.4193376424174205i,0.8229038789337282+0.3804512089929847i
-0.8285327780629048+0.5599405495612872i,-0.7508728859280016+0.5070812180009134i
-0.050525471447268655-0.9987215263413377i,-0.04543971129527717-0.9043784207614528i
0.8808130958426564+0.473463812851522i,0.796971890910238+0.42875173956008117i
-0.8608744836861674+0.5088173742356834i,-0.7787698236210439+0.4599260319759418i
0.009956450984790977-0.9999492157286107i,0.009314427193087494-0.9038506962317316i
0.8505725810331887+0.5258573103621313i,0.7682053986547631+0.47530508917346437i
-0.8900657578103582+0.4558321471249085i,-0.8037065900539923+0.41125052947576896i
0.07040193743689299-0.9975175187118858i,0.06383765949401765-0.90000521322891i
0.8172193359821105+0.5763263972345194i,0.7367211005975909+0.5199450048705078i
-0.9159997729004481+0.4011787714200701i,-0.825601384729703+0.36124050231478044i
0.13058978337052302-0.991435334258612i,0.11792879644378847-0.8928681295720804i
0.7808754192518151+0.624686378270978i,0.7026454370006635+0.5625129766720743i
-0.9385816215915282+0.3450572550201969i,-0.844384068090327+0.3100860664541675i
0.19029972710089016-0.9817249205535461i,0.17138898429414126-0.8824778112511872i
0.7416738339795098+0.6707602766959747i,0.666114078833269+0.6028588075626584i
-0.9577286640090319+0.2876729785891676i,-0.8599963844004357+0.2579809300431369i
0.24931325586016195-0.9684218135433484i,0.22402244589374057-0.8688846442612796i
0.6997580411428155+0.7143794818151985i,0.6272713833709342+0.6408411498651088i
-0.973370830195209+0.22923594395062508i,-0.872392138676405+0.20512165039943459i
0.30741440546041426-0.9515746968902695i,0.2756372075452872-0.8521508014223677i
0.65528143455416+0.7553843660583351i,0.5862698187199636+0.6763280060731072i
-0.9854508765350982+0.16996000557143082i,-0.8815373271463173+0.15170688281470818i
0.3643905506298707-0.9312452238108397i,0.32604580880414885-0.8323499652373639i
0.6084067795052566+0.7936248691474677i,0.5432693595827572+0.7091971923481989i
-0.9939245952435911+0.11006208794609751i,-0.8874102209051372+0.09793662409194472i
0.4200331831301447-0.9075077914515585i,0.3750659925595361-0.8095670080063935i
0.5593056171159932+0.8289610472532892i,0.49843685668139004+0.7393367630391549i
